Timestamp	Student ID Number	Grade Level	Name of Mission	What did you most like about the mission?	Describe the easiest part of the mission.	Describe the most difficult part of the mission.	What do you think can be improved about the mission?	On a scale of 1-10, how well do you feel you communicated with your fellow Infinity Knights?	On a scale of 1-10, how well do you feel other Infinity Knights communicated with you?	On a scale of 1- 10, how much did you trust your fellow Infinity Knights to complete their assigned tasks in a timely manner?	Give 1-2 examples during the mission that helped increase/decrease the trust between you and your fellow Infinity Knights? (please don’t list names, only positions).	Give a situation in which you had to use problem solving skills during the mission.	During the mission, when did you have to be creative in coming up with a solution to a problem?	DreamFlight believes that working as a team is an important component for success. After completing this mission, describe three personality traits a great Infinity Knight would have.	Rate the amount of teamwork used to complete the mission, as compared to the amount of teamwork when working within a classroom	What job/role did you apply for on this mission? (first choice)	Did you get the job/role for which you applied?	Do you feel like you want to learn more about this job/role in the future after you have undertaken this role? 	Why or why not?	What other roles did you seem interested in and why?	What skills do you think a person acting in this particular job/role in the real world would need to have to be successful?	Did you feel pressure to meet deadlines or expectations of your position?	Why or why not?	Do you believe that every job was critical or contributed to the success of the mission? 	Why or why not?	If you didn’t get the job you wanted, do you think that affected how you did your job?	Why or why not?	What other roles did you seem interested in and why?	What skills do you think a person acting in this particular job/role in the real world, would need to have to be successful?	Did you feel pressure to meet deadlines or expectations of your position?	Why or why not?	Do you believe that every job was critical or contributed to the success of the mission? 	Why or why not?	Provide two specific examples as to how this mission tied directly in to what you have been learning with class.	What is something new that you have learned having completed the mission?
2018/03/19 9:09:14 AM AST	701094	8th	Contaminant	answering calls 	finding the fish 	water scans 	team wokr	9	8	9	water scans and info 	to decrepit the messages 	figuring out how to do a water scan 	loud, hardworking, and nice 	4	Doctor	No									No	because it wasn't diffrent 	doctor, and captain because i'm loud and i've done doctor 	creative, loud, hardworking	No	it was easy 	Yes	everyone helped 	global warming and pollution 	fish die 
2018/03/19 9:10:59 AM AST	701139	8th	Contaminant	The team work 	Going downstream 	At the end when we got surrounded 	More challenges along the way 	10	9	9	When we where doing the water scan 	The water scan 	At  the end when I flew out of the water 	Honor companion strength 	3	Pilot	Yes	Yes	Because it’s fun 	Captain because it looked fun 	Respect strength and brave 	Yes	Because it will affect the whole team 	Yes	Every one contributed 									The global warming 	Fish are important 
2018/03/19 9:11:48 AM AST	903426	8th	Contaminant	I liked the part where my team finished the mission because that means they did well 	The easiest part of the mission was the beginning because it was nice and calm	Finding and getting the fish	Make the instructions more clear because it’s hard to hear the person	10	10	10	I did not increase or decrease because I was absent 	I was not here I was absent 	I was somewhere else	You have to be kind, friendly and smart	5	Hacker	Yes	No	Because I didn’t take part in it	Pilot because I like planes	Be smart and have patience 	No	I don’t know I was not here	Yes	Because everyone counts									It involves Adaption and evolution	I wasn’t here
2018/03/19 9:13:00 AM AST	934114	8th	Contaminant	How we all had to work together.	When we had to scan the first portion of the water.	When we got attacked by the corporation.	We could have killed the corporation bots.	8	7	4	When ever we scanned the river i knew i could trust everyone.	Whenever i had to decrypt the messages	Whenever i had to decrypt my first message.	Kindness nobleness and braveness	3	Communications	Yes	No	Because i did not like my job.	Engineer because it seemed the most fitting for me.	They would have to be able to not give up	Yes	Because we needed to pass the mission	Yes	Because without everyone we wouldn't have passed the mission									It taught me about teamwork	You cannot win without hardwork
2018/03/19 9:18:53 AM AST	1501774	8th	Contaminant	Being the biologist	Driving around in the water	Defeating the enemies ships	Less enemy ships	8	7	9	When we were scanning the water, I was sent a code by the physicist	We had to figure out how to scan the water	Asking the computer to scan the water	Bring able to communicate well, leadership, and willpower	4	Deck Chief	No									Yes	I applied for deck chief, but I got biologist, which changed me into defending the ship	Pilot	Leadership 	No	Every was helpful	Yes	I helped defend the ship	We were learning about pollution in class, and in the mission we had to stop the company from polluting	I learned that if you working together as a team then you can accomplish any task
2018/03/19 9:20:06 AM AST	701090	8th	Contaminant	Having my job	The bigining	Near the end	We could work harder to find out what is wrong and fix the Robles faster	7	6	8	The piper was very good and they kept us in the right way 	We had to scene the water, and we used problem solving situitions	We needed to rennet what jobs others had and that is how we solved the poblems	Combassion, bravery, strength	4	Engineers	Yes	Yes	I want to be a civil engineer when I grow up	I wasn't really interested at all in other jobs	Cause and effect problem footage	No	I feel very confident about my future. 	Yes	You need all the pieces to be able to complete a puzzle. 									We were learning about how we destroy our planet. 	That we need to work together
2018/03/19 9:41:52 AM AST	421407	8th	Contaminant	The thing I liked most about the mission was that it was very interesting and fun to do. As second in command, I had more jobs to do than the last time I had that position, and the mystery was fun to try and figure out.	The easiest part of the mission was the beginning when we were testing the water.	The most difficult part of the mission was when we were being attacked.	To improve this mission I think that it should be easier when we get closer to the factory because it was very hard to fight off all of our attackers because there were too many at once.	8	8	9	When I was second in command and I had to give the crew orders to test the water, we all worked together quickly to complete it.	I had to use problem solving to help some people at their stations since they did not know what to do at first.	I had to be creative calling out orders because I didnt want to call out orders over the first in command, so I walked around to give out orders.	Three personaloty traits a great knight would have are problem solving abilities, good communication, and a hardworking attitude to get the job done. 	5	Engineers	Yes	No	I feel like I could never do the jobs I was given in a real life situation. 	I was interested in the photographer role because I love taking pictures.	I think a person acting in this particular job/role in the real world would need to know the different effects that the camera can do to make the picture look good and so people are able to see it in the dark simulator room.	Yes	I did because the crew relied on me for both of my jobs and if I didnt do it right, the crew would have had a better chance at failing.	Yes	Everyone had a vital role because there were many different parts that needed to be completed and each person had a different role to complete our task that was all important in their own ways.									We have been learning about global warming and pollution. It ties in with our mission because we found that the river was polluted by toxins.	Something new I have learned is how important it is to be able to lead. If someone can not help their crew work together, the mission would be failed before we even found the toxins because we had to work together to test the water. The commanders had to tell their crew what to do and it was important for that crew to listen.
2018/03/19 9:48:44 AM AST	1505130	8th	Contaminant	Everything	When we guide the fish	finding the fish	the graphics 	7	7	7	When the doctor had to heal us	when I had to look up a desies	when I had to describe a desies	nice agreesive and smart	4	Hacker	No									No	Because it didn't really matter to me 	pilot it seems fun	Doctor	Yes	Because people were yelling 	Yes	Because working together is good	Science and more Science	nothing really 
2018/03/19 9:50:39 AM AST	1500347	8th	Contaminant	I liked how we worked together 	The easiest part of the mission was getting the fish to follow us	The most difficult part of the mission was getting from one place to another 	I think if we had more communication we could have done way better than we did 	7	8	9	I liked how we were all calm and we were laughing and having fun during the mission 	I didn’t have to use any problem solving skills but I am sure someone through out the team had to	I had to be creative when I had to find the correct speed that wouldn’t go over the speed limit 	"Brave 
Incorrigible 
Confident "	4	Navigator	Yes	Yes	Yes because it would help me understand more of the controls in the navigator position 	Doctor 	I think that they should know what they are doing and how they should react to if a person is very ill 	No	I didn’t feel pressured because nobody was yelling everybody was calm	Yes	Yes because if anybody didn’t know what to do we would have failed the mission 									Don’t know how it tied up with what we are learning 	I learned that we needed to communicate more 
2018/03/19 9:50:46 AM AST	903521	8th	Contaminant	I liked everything about the mission, I don't have a specific thing I liked about it.	Hacking the enemy ships attempting to hack us.	Starting to go full speed in the lake	I think we could use more help on the mission becuase we didn't know we have to tell the computer to check water levels until the teacher told us after awhile. 	8	6	4	engineer 	Entering in the code 	How to hack the enemy ships	Respect, well listening and caring about what they are doing 	3	Biologist	No									Yes	If we do not know what we're doing it's better to get something we know how to do 	biologist , I like biology 	knowing chemistry 	Yes	I felt a little pressured as time went on, I d8dnt wanna let my team down 	Yes	"If we didn't have any jobs, what would we have done?
"	We've been learning about pollution, so checking the water helped tie onto that 	I haven't learned anything new 
2018/03/19 9:52:52 AM AST	1505106	8th	Contaminant	The story	Finding out what was contaminating the water	Shooting the ships	A longer story, or more interesting story.	9	9	9	When I saw everyone doing thier jobs at a very fast pace and doing it correctly	I had to find out what we as contaminating the water.	When we had to get the fish into the force field	Leadership, patience and hood team work	4	Captain	Yes	No	Because it probably won't apply to me in my life.	Tacticle because it would be a fun and challenging job	Good aim	Yes	Yes because I need to get the fish back down the river but other ships were shooting at us and it was a disaster	Yes	Yes because we need everyone's help to complete the mission									We are learning about how humans are contaminating the air.	"That teamwork is need to complete missions
"
2018/03/19 10:00:57 AM AST	1502299	8th	Contaminant	The mechanics of the mission	The training	Finding the source	Nothing	5	5	5	The captain helped with the mission	The code	Hacking	Friendly qnd helpful	3	Engineers	No									No	It did not effect my role I was given a easier role	None	Cooperative	No	No I didn't feel the deadlines	No	Not every role is critical	It showed what causes pollution	How the pollution occurs
2018/03/19 10:03:44 AM AST	421464	8th	Contaminant	Fighting the ships	Taking water samples	Getting past the enemy ships	Make it more active	10	10	10	When the pilot started going the wrong way	When we were fighting the enemy ships	Fighting the enemy ships	Honor, compassion, strength.	5	Captain	Yes	Yes	It was entertaining 	Security chief, it seemed interestingly 	Teamwork	No	It was just a simulation	Yes	Every job had to do something									We were learning about pollution, as well as about how to stop it.	How to work better with teammates
2018/03/19 10:04:43 AM AST	421491	8th	Contaminant	I liked how we had to turn into a fish to disguise into the river	Searching for the group of fish	Naming the tasks for the crew members as we checked the water	If we worked together more as a team we could have had a more successful mission	9	8	7	Naming of the tasks for the infinity knights really helped increase my trust with them.	Trying to figure out where the disease was coming from in the river.	Finding the group of fish and carrying them back to our lab to test on them.	Determination kindness confidence 	4	Deck Chief	No									No	Even though I didn’t get what I wanted I learned to do my job and work with my team to get the job done.	Doctor because I love helping others 	Problem solving and determination 	Yes	We had a limited time of oxygen 	Yes	Everyone needed to work together to complete the mission and make it successful 	Pollution in the water was killing off people and fish. We are learning about how pollution is bad in class.	Pollution may cause diseases and hurt wildlife in water and on land.
2018/03/19 10:04:48 AM AST	1500223	8th	Contaminant	I liked being disguised as a fish and going in the river. 	Collecting water samples. 	Fighting the fighter jets. 	Make the water samples easier. 	5	5	6	Collecting water samples because we had to communicate a lot. 	When someone broke into the ship. 	When the fighter jets were attacking us. 	"Leadership
Good communication
Good problem solving skills"	4	Doctor	No									No	Because I wanted security chief as well	Security chief 	Critical thinking	No	Because I was security chief before 	Yes	Because we worked together 	Pollution and disease 	That pollution is not good
2018/03/19 10:05:05 AM AST	421408	8th	Contaminant	That it was slightly harder	Finding the fish	Escaping with the fish 	Less cryptic messages 	8	8	7	Sam knowing what he was doing 	I dunno	When we had to get the fish	I dunno	4	Security Guard	Yes	Yes	Cause I like it	None	To protect 	No	Cause it's easy	No	Some have know purpose 									Not to poloot	Nothing 
2018/03/19 10:05:24 AM AST	1505186	8th	Contaminant	When we found the toxic waste	Scanning the water	Fighting the robots when the came to kill us	My groups team work	8	6	9	When we all worked together to defeat the enemies 	When I had to activate stuff for my station to run the scan	"I didn’t have to be
"	Leadership honesty and bravery 	4	Security Chief	Yes	No	Because I knew what to do	I wasn’t really interested in other roles	Bravery needs to focus	Yes	Because it is important to take care of your responsibilities 	No	Some people didn’t have to do anything 									It was about pollution and toxic waste that can last thousands of years	I learned it’s better to work with a team
2018/03/19 10:08:23 AM AST	701123	8th	Contaminant	What I liked about the mission is that we were working as a team	The easiest was finding the fishes 	The most difficult was when we got attacked 	Working more as a team then soloing would be better	9	10	9	Engineer helped increase my trust	We had to use problem solving when everything went offline	When we were getting attacked 	Not being shy	5	Engineers	Yes	No	Engineer isn’t my type	Pilot because it’s fun	Not panicking alot	Yes	It’s stressful fixing a lot of stuff at once 	Yes	Everyone needs to perticopate									We are learning about pollution 	Factory’s pollute stuff in private somtimes 
2018/03/19 10:09:07 AM AST	421456	8th	Contaminant	Absent 	Absent	Absent	Absent	9	9	9	Absent 	Absent	Absent	Absent 	5	First Office	Yes	Yes	Absent 	Absent	Absent 	Yes	Absent	Yes	Absent 									Absent 	Absent 
2018/03/19 10:20:30 AM AST	421447	8th	Contaminant	absent	absent	absent	absent	6	6	6	absent	absent	absent	absent	3	Captain	No									Yes	absent	absent	absent	Yes	absent	Yes	absent	absent	absent
2018/03/19 10:26:25 AM AST	421437	8th	Contaminant	The multiple steps to winning	Pressing the repair button	Getting through the mazes and relating everyone’s computers	Having a better pilot	8	9	9	The water samples 	Communication 	Knowing where to go	Team work	5	Hacker	Yes	No	Not into it	Gunner I think it’s more fun	Communication 	No	I knew what I was doing 	Yes	It’s team effort 									Everyone’s job comes together 	Team work makes a dream work
2018/03/19 10:48:43 AM AST	1504190	8th	Contaminant	It was fun	Waiting 	The water scan	Less waiting time	6	6	6	The pilot decreased and hacker	Everyone 	Whenever	Bravery courage communication 	3	Doctor	Yes	No	There are better jobs	None because I like the job I was doing 	Bravery 	Yes	No one died	Yes	One wrong thing could lead to something bad									Don’t trust private companies and don’t try this at home kids	Working is hard
2018/03/19 10:52:30 AM AST	Pj1500859	8th	Contaminant	Being the tatical officer 	Going down the stream and doing nothing 	When we ran into the security boys and they attacked us 	Contacting  in the genital 	9	7	9	"Jayden was our captain 
We talked to each other "	When we were trying to figure out how to contact the genoral	When we were capturing the fish 	"Confidence 
And a good team 
Trust "	5	Tactical (formerly Gunner)	Yes	No	I want to be a vet	Captain it sounds fun 	A sharp eye 	Yes	I was confident I could do the job 	Yes	It all plays a part in it 									"The pollution 
And how it disrupted the migration in with the fish "	How to communicate better with others 
2018/03/19 10:53:06 AM AST	701092	8th	Contaminant	How hard it was	Navigating the ship	Finding the fish 	Working with the team better	9	9	6	When we had to find the fish and communicate 	Going the right direction 	When we had to find the fish 	Determination strength and teamwork 	4	Navigator	Yes	Yes	Because I didn't do to well at it 	Pilot because I did it last year 	They would have to be smart 	No	I knew I could do the job 	Yes	Because the team needs to work together for re mission to be complete 									It's tied to pollution and how you solve It	If you don't work together it's hard 
2018/03/19 10:53:09 AM AST	421452	8th	Contaminant	I liked how it was tough but fun at the same time	The easiest part of the mission was the beginning of it when we weren’t really doing anything 	The most difficult part of the mission was the end when we had to try and kill the bot	We could have improved our communication	7	9	9	When the navigator and I had to work together to find the fish 	When we had to find our way on our own because the computers were down or we weren’t getting enough information	We used creativity when the computers were down and we had to find our own way	Communication skills, hard worker, and a strong personality 	3	Pilot	Yes	No	Because I don’t like planes and to be a pilot would make no sense	Captain because I am not afraid to speak up and say what’s in my mind	I think they would need to be carasmatic and outgoing 	Yes	Because my role was so important I was stressed I was not going to do a good job	Yes	Because we needed every role to do a certain job									Learning about what the environment has to do with animals and such and how people can cause something so radical to happen	I have learned that some people will hurt the environment they live in to make a profit
2018/03/19 10:55:35 AM AST	701091	8th	Contaminant	i liked that we all worked together, and we all had fun.	the easiest part of the mission was working together as a team.	The most difficult part of the mission was everyone doing there jobs correctly, and for me was keeping everything together as the engineer	I can improve keeping all of the systems functioning properly, because as the engineer everything was dieing and going empty.	10	8	10	I had trust in my infinity knights because i’ve been with everyone and worked with everyone, but we had a good captain during our mission which controlled us and she helped us.	we had to use problem solving, when we had to scan the water because everyone had to do different tasks and work with each other.	we had to be creative when we had to figure out the different things, and we had to use all of our stations to come up with all of the different tasks.	social,intelligence, and hardworker	4	First Office	No									No	no because i feel the people know what i will work best with, and whatever they believe i am best for, i will do it.	i was interested in engineer because from previous missions it was really interesting	they would need to be hard working, and social, because without being social you won’t be able to help other people and yourself. you need to be hardworking because if you don’t work hard ou won’t succeed	Yes	yes because if i didn’t complete all of the expectations i would fail myself and the team.	Yes	yes, everyone had different jobs that they needed to do, and you needed to use each job to do the water testing and other tasks.	This mission tied into what we are learning in class because we are learning about pollution and did a lab about pollution and in our mission we were in a polluted water	something new and that i learned is that communicating with others is a really important part of the mission, and life.
2018/03/19 10:55:56 AM AST	421562	8th	Contaminant	That you had to catch the fish	Driving in river	Finding cause of the problem	Better concept	1	2	1	They didnt do there job	When we had to capture the fish	Getting the fish	Hard working dedicated and caring	1	Second Officer	No									Yes	I am the best captain	Captain 	Hard working	No	I dont know	No	No some  people did nothing	I dont know	Nothing
2018/03/19 10:56:18 AM AST	421483	8th	Contaminant	I like how we had to work together to solve the problems on the mission	The easiest part of the mission was going to the place we needed to be.	The most difficult part of the mission was figuring out what was wrong and trying to help get rid of it.	Maybe we could have communicated more.	6	7	7	What decreases my trust was when something was wrong people would yell at each other, putting more stress and panic on people. 	My job as security guard one was to solve problems so whenever there was a problem I would solve it accordingly.	In some certain things I could not come up with a exact plan to solve something so I’m that situation I had to think of something fast.	Creative, bold, and willing to do things for your team.	4	Videographer	No									No	No because I still did the job I needed to do efficiently.	I was also interested in security chief because I knew how to do it.	Problem solving skills.	No	I felt like I knew what I was doing. 	Yes	Every job needs to be dealt me in order for other people to do theirs	We are learning about pollution and the mission was about pollution. This mission also showed how we effect the ecosystem: 	We should not put waste or harmful things into our ecosystem.
2018/03/19 10:58:14 AM AST	421470	8th	Contaminant	Working as a team and interacting with the people in my class	talking to the governor	doing the water test the first time because we had no clue what to do and how to do it	working better together	7	8	8	the first and second officer were very helpful to me in doing the water tests	during the water tests we were running around crazily and worrying about what to do	talking to the governor was difficult and i had to be creative with what i said. 	trust, hardworking, and strength 	5	Captain	Yes	Yes	because i want to know how i could have done better	doctor and pilot seemed very interesting	hardworking and teamwork	Yes	it was very time limited	Yes	we need everyone 									we are learning about pollution and it worked perfectly	that it’s more difficult as i grow older
2018/03/19 11:01:04 AM AST	421442	8th	Contaminant	I liked the storyline of the mission the most because it was interesting to learn about and figure out. 	The easiest part of the mission was when we were doing the scans in for the water because we all worked together easily to give each other the information we needed. 	The most difficult part of the mission was trying to find our destination and trying to fight the people from the corporation. 	I think the direction could be improved because either we weren’t listening clearly or we were all just very confused, and a lot of groups were too. 	7	7	6	When we all were communicating for the water scans, it was easy for us to give each other the information and we all trusted each other. 	We had to use problem solving when figuring out where the ship needed to go. 	We had to be creative when fighting against the corporation and work together to win. 	Compatibly, knowledge, and intuition 	4	Navigator	No									No	With communications, I think I still did a fair job. 	First officer because I like to survey and work with others than solving things by my self. 	Determination, and loudness i guess	Yes	We were trying so hard to get the fish but it just wasn’t working and we didn’t have time 	Yes	We all worked together to get the job done 	This tied into our class because we were learning about pollution and global warming and how to fix it. 	It is very crucial for us to not cause pollution 
2018/03/19 12:21:49 PM AST	1502096	8th	Contaminant	I liked how we went underwater for the majority of the mission 	The easiest part of the mission was the create the caimara for the biologist position	The most difficult part was most likely fighting the factory’s robots	I think you can improve the mission by putting more challenges earlier on in the mission instead of just the robots in the end of it. 	9	7	1	One example of how we increased the trust in between my fellow infinity knights and I was how the first officers and security officer 2 helped one another when they had the preform the water scan and helped me with my part in it 	When I had to fight the robots, I had to figure out there best way to defeat them. 	I had to be creative when creating the caimara for the biologist position and figuring out what is the best qualities to include in it 	A great infinity kj night should be brave, kind, and intelligent 	4	Engineers	No									No	Even though I didn’t get the job I wanted, i still worked my hardest on the job I was assigned 	I was also interested in the communications position because decoding the messages received seemed fun and interesting 	I feel someone in the communications position would need to have good verbal skills with others to help share the messages they receive 	No	When I am given a deadline, I would actually work more efficiently to do a good job to meet the deadline 	No	Some jobs contributed more than others. For example, the tactical position would be more useful when fighting the robots and supporting the mission rather than the hacker who didn’t need to do much, for no one really tried to hack the ship during the mission 	One example is how the pollution we create can harm the wild life around use. Another example is how the pollution we create can also indirectly harm us.  For example, how the fish were harmed but the pollution, making it hard for the people to fish because all of the fish were either non edible or they all have died. 	I learned how the pollution we create has a major negative impact not only on the wildlife and atmosphere but, also on us and our daily needs 
2018/03/19 12:22:07 PM AST	1502998	8th	Contaminant	What I liked most about the mission is the Fun we all had working together and trying to figure out and solve each problem that came our way as a team.	The easiest part of the mission for me was making sure that everyone was in good health since I was the doctor,  but the easiest part was finding the fish.	Most difficult part of the mission was doing all of the water scans and keeping up with updates to the governor also staying away from the vikasa corporation.	We could have improved our listening skills during the mission more.	6	3	9	The Captain  and the pilot helped build my trust a lot through out the mission.	I had to problem solve any time that someone was Injured or sick on board.	When I was finding medications for the crew when they were hurt or sick i had to be quite creative.	They need to be brave and full of courage	4	Doctor	Yes	Yes	No because I am not interested in going into a medical field.	I was interested in the biologist because it just fascinated me.	They would need to be brave and have great courage.	No	No because there is not much pressure if you believe in yourself and that you can do it.	Yes	If we did not have everyone working together as a team we would have failed the mission. 									it tied into our learning of pollution and how it is effected wildlife and humans.	I learned about the effects of contaminated water.
2018/03/19 12:33:52 PM AST	701074	8th	Contaminant	absent	absent	absent	absent	10	1	10	absent	absent	absent	absent	5	Captain	No									No	absent	absent	absent	No	absent	Yes	absent	absent	absent
2018/03/19 12:38:40 PM AST	421405	8th	Contaminant	I liked that everyone worked together to overcome the mission.	The easiest part of the mission was listening to others if something went wrong.	The most difficult part of the mission was fighting the disease.	I think that the disease could be defeated quicker if we did this mission again.	7	8	10	Deck chief and Engineer.	When I had to do what my job was asking me to do.	I had to be creative when working quickly but doing my job correctly.	Kind, helpful, and positive.	5	Doctor	Yes	Yes	I like to learn about this type of educational field.	I was interested in engineer too because it involves repairing things.	They would need to be skillful.	Yes	I had to work quickly.	Yes	Every job effected the mission because when one person messed up the whole class would have to work together to fix it.									It taught me how quickly a disease can spread due to House we treat an environment.	I’ve learned that people must work together to achieve a goal.
2018/03/19 12:39:06 PM AST	421475	8th	Contaminant	I was the best captin ever	The start when you dive into the water	The end when we got attacked	Make the attackers sharks or defencive alagators	10	9	5	The trust increased witg my first and second officers after they helped me. The trust decreased because people didnt know what yo do.	I had to solve the problem of people thinking they can compair to the awsomeness of me	I had yo be creative in being really awsome	Awsomeness, great amune system, and being an apex athlete	4	Captain	Yes	No	I know everything there is yo know about everything	Captin and captain only	Be a leader by example and be a full dielel engine	No	Im an apex captain	No	Some jobs wernt used like biologest									Polluyion	I am a 5,7 128lb pure duesel enginge that tried domething verry hard and almost faild completly
2018/03/19 12:39:13 PM AST	421415	8th	Contaminant	My job was my favorite part. 	The beginning was the easiest (when we first got into the water.) Nothing was happening. 	The end was the hardest part because we were being attacked. 	Nothing, it was super fun. 	7	5	6	The engineer repaired my station. The pilot sometimes acted silly and didn’t do what he was supposed to. 	I had to do mini-missions in my station to train my guards and other people. 	I had to put the alert things in the right places, so I had to think of good spots. 	Socialable, friendly, intelligent. 	5	Security Chief	Yes	No	Out of the mission, I’m not interested in having it as a real job. 	I was interested in the doctor role. I like taking care of people. 	They would have to be careful and alert. 	No	My job wasn’t extremely hard. 	Yes	When everyone works together, the job gets done faster. 									Pollution (in the water) and power plants. 	Pollution can affect living things directly and indirectly. 
2018/03/19 12:39:20 PM AST	1501463	8th	Contaminant	I liked the mission we had and the tasks we had to perform while on the mission.	The easiest part of the mission was whenever we didn’t have the checklists.	The most difficult part was definitely when we were under attack and everything started failing.	We should have been better with time management.	8	9	9	The communications station was talking loudly while the captain was trying to talk with the computer.	Whenever we had the checklists with everyone’s different assignments.	We had to figure out a way to get the water scans so we asked the computer.	Trustworthy, bravery, and intelligence	5	Doctor	No									No	No, because it didn’t matter which job I had, because each one was important.	Captain because they had a big responsibility.	Intelligence, multitasking, and problem solving skills	Yes	Yes because they were depending on me to help everyone with their assignments.	Yes	Yes, because everyone had a specific job to do.	We are currently learning about pollution. And global warming as well.	Meeting deadlines is both stressful and important.
2018/03/19 12:41:54 PM AST	421429	8th	Contaminant	The water scans	The take off	Escaping the company 	Our use of energy and the fighting with the monsters	8	6	7	We didn’t know how to Usenet the communications and we also didn’t know what the data collections did	We needed to work together to do the water scans 	With the fighteing and when we didn’t have any energy 	Intelligence organization and Good team work skills	4	Doctor	No									No	I was fine with it what I got 	The pilot because it seemed fun	Good sense of direction 	Yes	I did good when we had to do water scans 	Yes	We needed to work together	Pullution and fish 	How to stop pullution 
2018/03/19 12:41:59 PM AST	421477	8th	Contaminant	I liked helping out the team and everyone working together the best. It was really fun!	Doing my job was the easiest because I had previous practice.	The most difficult was keeping up with all the damages of the ship and trying to fix them all at once. It was sort of overwhelming.	I think our cooperation skills and listening skills could have been improved due to some people not knowing what to do from lack of paying attention.	8	7	9	One thing that helped increase trust between us was fighting together and communicating very much allowing us to become one to face the battle.	We had to use problem solving skills when trying to scan the water and find out what was polluting it.	When our ship went down and we couldn’t reach the computer we had to come up with a solution.	Hard working, working together, and friendliness 	5	Captain	No									No	Although I didn’t get what I wanted still getting to do something was exciting	Deck chief seemed really interesting  to me since I’ve had it before and it was very fun.	They would need coordination and mechanic skills.	Yes	I believed that if I messed up the blame would fall on me so pressure was then applied	Yes	Yes because everyone was trying their best and that’s all that matters 	It tied to what we’ve been learning about non renewable recourses. Also how germs and fungi we had previously learned about.	I learned a lot of things can cause pollution and we need to be careful with our recourses
2018/03/19 12:46:16 PM AST	421430	8th	Contaminant	My favorite part of the mission was preforming surprise medical operations on people.	The easiest part of the mission was making sure the temperature of our ship was safe.	The most difficult part of the mission was getting everyone to work together.	I think my group can improve on their teamwork and leadership skills.	10	1	5	In my mission, everyone was yelling at eachother and telling them they were doing everything wrong(communications). Also, the captain didn’t understand anything he was doing so it was hard for me to trust them.	I had to use problem  solving when I had to preform medical operations.	When the first officer wouldn’t allow the medical scan to happen, I did it for her.	A good infinity knight should show leadership, be kind, and always have respect for everyone else on the mission	1	Doctor	Yes	Yes	I would like to go into the medical field because I live helping people out.	I also seemed interested in the Captain because I believe I could be a good leader.	I think a good captain would need to be responsible and have good leadership.	Yes	I don’t want anyone to be mad at me for letting them die, so I feel very pressured.	Yes	Everyone plays a very important role in the mission.									Im science, we are learning about pollution and our mission was about contaminated water.	I have learned hat not everyone can be good leaders.
2018/03/19 12:58:00 PM AST	1500724	8th	Contaminant	Having my job	Taking pictures	Getting the water scans	More jobs	10	10	10	Gibe videographer a station	Water scans	When we were under attack	Optimistic, good attitude, team work	4	Doctor	No									No	Not all the jobs are as popular as others	Hacker, it feels like a video game	Leadership 	Yes	It feels rushed 	Yes	Because we are all a special paet of the mission 	Pollution, the 6th extinction	How important teamwork is.
2018/03/19 1:36:55 PM AST	701070	8th	Contaminant	Solving the challenges that we were asked to complete	The easiest part was finding the fish	The hardest part was finding out why the people were getting sick	We could’ve had better communication and found out why everyone is getting sick	7	6	5	Everyone communicating and completing their tasks	We had to find the PH levels of the water and we found it out	When we had to keep the fish all together	Respectful, cooperative, and teamwork 	4	First Office	Yes	Yes	Because it seem like an interesting job and it’s challenging which I like	I was interested in being the hacker because I would like to challenge myself	To be successful in this job they would have to be able to communicate, problem solve, and and be creative.	No	I felt like my job was pretty straight forward I just needed to follow my instructions 	Yes	Because to complete anything with multiple roles you need to work as a team. So if one job didn’t do it’s job than the whole team fails as a group									The mission ties right in with what we are learning in science. Because we are learning about pollution and we have to keep the fish free from pollution. Also we have to figure out why everyone is getting sick. That ties in because if there is more pollution that cause global warming and that causes temperatures to rise which diseases can survive longer and reproduce.	That no matter what you need to complete you always need to work as a team.
2018/03/19 2:02:23 PM AST	1502357	8th	Contaminant	The experience	Using the fusion chamber as engineer	Using the sequencer as engineer	Some of the controls and directions	8	7	8	When the pilot flew into enemy ships	When we could not find out what was causing the pollution	Capturing the fish using our shield	Kindness, understanding, helpful	5	Engineers	Yes	No	I feel that real engineering is much different from what had happened in the simulator	Communications, I'm good with words and talking to people	Understanding, helpfulness, kindness, friendly	Yes	Because of how slow the engineers moved from station to station, there was no time to repair everything	Yes	Because we were a team, and the job would not be there if it weren't useful									It ties into pollution on how rivers were polluted	That as a team, everybody achieves more
